question,intent
តើ ភ្នំ/B-GPE ពេញ/I-GPE មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ភ្នំ/B-GPE ពេញ/I-GPE មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ ភ្នំ/B-GPE ពេញ/I-GPE មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ភ្នំ/B-GPE ពេញ/I-GPE មាន ខណ្ឌ ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ភ្នំ/B-GPE ពេញ/I-GPE មាន ខណ្ឌម៉ាន ?,AskAboutDistrictInProvince
តើ ត្បូង/B-GPE ឃ្មុំ/I-GPE មាន ស្រុក ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ត្បូង/B-GPE ឃ្មុំ/I-GPE មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ត្បូង/B-GPE ឃ្មុំ/I-GPE មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ ត្បូង/B-GPE ឃ្មុំ/I-GPE មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ត្បូង/B-GPE ឃ្មុំ/I-GPE មាន ខណ្ឌ ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ត្បូង/B-GPE ឃ្មុំ/I-GPE មាន ខណ្ឌម៉ាន ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន/B-GPE មាន ស្រុក ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន/B-GPE មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន/B-GPE មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន/B-GPE មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន/B-GPE មាន ខណ្ឌ ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន/B-GPE មាន ខណ្ឌម៉ាន ?,AskAboutDistrictInProvince
តើ កែប/B-GPE មាន ស្រុក ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ កែប/B-GPE មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ កែប/B-GPE មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ កែប/B-GPE មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ កែប/B-GPE មាន ខណ្ឌ ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ កែប/B-GPEមាន ខណ្ឌម៉ាន ?,AskAboutDistrictInProvince
តើ ឧត្តរ/B-GPE មាន/I-GPE ជ័យ/I-GPE មាន ស្រុក ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ឧត្តរ/B-GPE មាន/I-GPE ជ័យ/I-GPE មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ឧត្តរ/B-GPE មាន/I-GPE ជ័យ/I-GPE មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ ឧត្តរ/B-GPE មាន/I-GPE ជ័យ/I-GPE មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
