question,intent
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Telecoms/noun &/punct Networking/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun ក្រោយ/adp ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Telecoms/noun &/punct Networking/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 1/num ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Telecoms/noun &/punct Networking/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 2/num ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Telecoms/noun &/punct Networking/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 3/num ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Telecoms/noun &/punct Networking/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 4/num ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun Telecoms/noun &/punct Networking/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun នេះ/det ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun TN/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun ក្រោយ/adp ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun TN/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 1/num ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun TN/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 2/num ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun TN/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 3/num ?/punct,AskAboutTN_CourseInEachGen
តើ/prt សិស្ស/noun ជំនាន់/noun ៨/num ផ្នែក/noun TN/noun រៀន/verb មុខ/noun វិជ្ជា/noun អ្វី/noun ខ្លះ/adj នៅ/adp Term/noun 4/num ?/punct,AskAboutTN_CourseInEachGen
