question,intent
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj Mediaclub/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj Mediaclub/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj Mediaclub/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun កីឡា/noun អេឡិចត្រូនិច/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun កីឡា/noun អេឡិចត្រូនិច/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun កីឡា/noun អេឡិចត្រូនិច/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun តៃវ៉ានដូ/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun តៃវ៉ានដូ/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun តៃវ៉ានដូ/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun បាល់/noun បោះ/verb នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun បាល់/noun បោះ/verb នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun បាល់/noun បោះ/verb នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun សរសេរ/verb កូដ/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun សរសេរ/verb កូដ/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun សរសេរ/verb កូដ/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun បាល់់/noun ទាត់/verb នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun បាល់់/noun ទាត់/verb នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun បាល់់/noun ទាត់/verb នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun ថត/verb រូប/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun ថត/verb រូប/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun មួយ/adj ឈ្មោះ/noun ថា/conj ក្លិប/noun ថត/verb រូប/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb Mediaclub/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb Mediaclub/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb Mediaclub/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun កីឡា/noun អេឡិចត្រូនិច/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun កីឡា/noun អេឡិចត្រូនិច/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun កីឡា/noun អេឡិចត្រូនិច/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun តៃវ៉ានដូ/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun តៃវ៉ានដូ/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun តៃវ៉ានដូ/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun បាល់/noun បោះ/verb នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun បាល់/noun បោះ/verb នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun បាល់/noun បោះ/verb នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun សរសេរ/verb កូដ/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun សរសេរ/verb កូដ/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun សរសេរ/verb កូដ/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun បាល់់/noun ទាត់/verb នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun បាល់់/noun ទាត់/verb នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun បាល់់/noun ទាត់/verb នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun ថត/verb រូប/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun ថត/verb រូប/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb រក/verb ក្លិប/noun ថត/verb រូប/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb Mediaclub/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb Mediaclub/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb Mediaclub/noun នៃ/adp វិទ្យាល័យ/noun សុីអេ/noun ដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun កីឡា/noun អេឡិចត្រូនិច/noun នៃ/adp សាលា/noun រៀន/verb សុី/noun អេដីឌី/noun,FindClub
ខ្ញុំ/pron ចង់/verb ស្វែង/verb រក/verb ក្លិប/noun កីឡា/noun អេឡិចត្រូនិច/noun នៃ/adp វិទ្យាល័យ/noun CADT/noun,FindClub
