question,intent
តើ/prt នៅ/adp បន្ទប់/noun Jupyter/noun គេ/pron កំពុង/verb ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun ?/punct,FindMeetingRoomAgenda
តើ/prt នៅ/adp បន្ទប់/noun Jupyter/noun គេ/pron កំពុង/verb ប្រជុំ/verb រឿង/noun អ្វី/noun ?/punct,FindMeetingRoomAgenda
តើ/prt នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj គេ/pron កំពុង/verb ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun ?/punct,FindMeetingRoomAgenda
តើ/prt នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj គេ/pron កំពុង/verb ប្រជុំ/verb រឿង/noun អ្វី/noun ?/punct,FindMeetingRoomAgenda
ព្រឹក/noun នេះ/det គេ/pron ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun នៅ/adp បន្ទប់/noun Jupyter/noun ?/punct,FindMeetingRoomAgenda
ព្រឹក/noun នេះ/det គេ/pron ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj ?/punct,FindMeetingRoomAgenda
ព្រឹក/noun នេះ/det គេ/pron ប្រជុំ/verb រឿង/noun អ្វី/noun នៅ/adp បន្ទប់/noun Jupyter/noun ?/punct,FindMeetingRoomAgenda
ព្រឹក/noun នេះ/det គេ/pron ប្រជុំ/verb រឿង/noun អ្វី/noun នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj ?/punct,FindMeetingRoomAgenda
រសៀល/noun នេះ/det គេ/pron ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun នៅ/adp បន្ទប់/noun Jupyter/noun ?/punct,FindMeetingRoomAgenda
រសៀល/noun នេះ/det គេ/pron ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj ?/punct,FindMeetingRoomAgenda
រសៀល/noun នេះ/det គេ/pron ប្រជុំ/verb រឿង/noun អ្វី/noun នៅ/adp បន្ទប់/noun Jupyter/noun ?/punct,FindMeetingRoomAgenda
រសៀល/noun នេះ/det គេ/pron ប្រជុំ/verb រឿង/noun អ្វី/noun នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj ?/punct,FindMeetingRoomAgenda
ម៉ោង/noun ១០/num គេ/pron ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun នៅ/adp បន្ទប់/noun Jupyter/noun ?/punct,FindMeetingRoomAgenda
ម៉ោង/noun ១០/num គេ/pron ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj ?/punct,FindMeetingRoomAgenda
ម៉ោង/noun ១០/num គេ/pron ប្រជុំ/verb រឿង/noun អ្វី/noun នៅ/adp បន្ទប់/noun Jupyter/noun ?/punct,FindMeetingRoomAgenda
ម៉ោង/noun ១០/num គេ/pron ប្រជុំ/verb រឿង/noun អ្វី/noun នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj ?/punct,FindMeetingRoomAgenda
ម៉ោង/noun បួន/num គេ/pron ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun នៅ/adp បន្ទប់/noun Jupyter/noun ?/punct,FindMeetingRoomAgenda
ម៉ោង/noun បួន/num គេ/pron ជជែក/verb គ្នា/noun អំពី/adp អ្វី/noun នៅ/adp សាល/noun ប្រជុំ/verb ធំ/adj ?/punct,FindMeetingRoomAgenda
