question,intent
តើស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ស្នាក់/verb ឲ្យ/verb និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ស្នាក់/verb ឲ្យ/verb និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ស្នាក់/verb សម្រាប់/adp និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ស្នាក់/verb សម្រាប់/adp និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ស្នាក់/verb សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb កន្លែង/noun ស្នាក់/verb សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun ឲ្យ/verb និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun ឲ្យ/verb និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun សម្រាប់/adp និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun សម្រាប់/adp និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb Dormitory/noun ឲ្យ/verb និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb Dormitory/noun ឲ្យ/verb និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb Dormitory/noun សម្រាប់/adp និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb Dormitory/noun សម្រាប់/adp និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb Dormitory/noun សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb អត់/prt ?/punct,AskAboutDormInfo
តើស៊ីអេឌីធី/noun មាន/verb Dormitory/noun សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb កន្លែង/noun ស្នាក់/verb ឲ្យ/verb និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb កន្លែង/noun ស្នាក់/verb ឲ្យ/verb និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb កន្លែង/noun ស្នាក់/verb សម្រាប់/adp និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb កន្លែង/noun ស្នាក់/verb សម្រាប់/adp និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb កន្លែង/noun ស្នាក់/verb សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb កន្លែង/noun ស្នាក់/verb សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun ឲ្យ/verb និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun ឲ្យ/verb និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun សម្រាប់/adp និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun សម្រាប់/adp និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb អន្តេរ/noun វាសិកដ្ឋាន/noun សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb Dormitory/noun ឲ្យ/verb និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb Dormitory/noun ឲ្យ/verb និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb Dormitory/noun សម្រាប់/adp និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb Dormitory/noun សម្រាប់/adp និស្សិត/noun ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb Dormitory/noun សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb អត់/prt ?/punct,AskAboutDormInfo
តើ/prt CADT/noun មាន/verb Dormitory/noun សម្រាប់/adp ឲ្យ/verb និស្សិត/noun ស្នាក់/verb នៅ/verb ដែរ/adv ទេ/prt ?/punct,AskAboutDormInfo
តើ/prt សាលា/noun CADT/noun មាន/verb កន្លែង/noun ស្នាក់/verb ឲ្យ/verb និស្សិត/noun អត់/prt ?/punct,AskAboutDormInfo
