question,intent
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ថ្មី អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ថ្មី ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ថ្មី ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ថ្មី ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ទើប ចប់ ទី ១២ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ទើប ចប់ ទី ១២ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ទើប ចប់ ទី ១២ ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ទើប ចប់ ទី ១២ ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា សាលា/B-ORG ស៊ីអេឌីធី/I-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ថ្មី អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ថ្មី ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ថ្មី ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ថ្មី ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ទើប ចប់ ទី ១២ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ទើប ចប់ ទី ១២ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ទើប ចប់ ទី ១២ ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG សិស្ស ដែល ទើប ប្រឡង បាក់ឌុប ចប់ សិស្ស ទើប ចប់ ទី ១២ ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG ឲ្យ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ដែរ អត់,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ថ្មី ដែរ ទេ,ScholarshipInfo
ខ្ញុំ ចង់ ដឹង ថា CADT/B-ORG មាន ផ្តល់ អាហារូបករណ៍ ដល់ សិស្ស ទើប ចប់ ទី ១២ អត់,ScholarshipInfo
