Question/noun ,/punct Intent/noun
តើ/prt អ្នក/pron ឈ្មោះ/noun អ្វី/noun ?/punct ,/punct
តើ/prt អ្នក/pron មាន/verb ឈ្មោះ/noun អ្វី/noun ?/punct ,/punct
តើ/prt អ្នក/pron មាន/verb អាយុ/noun ប៉ុន្មាន/adv ហើយ/conj ?/punct ,/punct
តើ/prt ឯង/pron មាន/verb អាយុ/noun ប៉ុន្មាន/adv ហើយ/conj ?/punct ,/punct
តើ/prt អ្នក/pron មាន/verb លក់/verb នៅ/adp ទី/noun ណា/noun ?/punct ,/punct
តើ/prt អ្នក/pron មាន/verb តម្លៃ/noun ប៉ុន្មាន/adv ?/punct ,/punct
ហេតុ/noun អ្វី/noun បាន/verb ជា/verb គេ/pron បង្កើត/verb អ្នក/pron ឡើយ/prt ?/punct ,/punct
មូល/noun ហេតុ/noun អ្វី/noun បាន/verb ជា/verb គេ/pron បង្កើត/verb អ្នក/pron ?/punct ,/punct
ហេតុ/noun អ្វី/noun បាន/verb ជា/verb គេ/pron ផលិត/verb អ្នក/pron ?/punct ,/punct
ហេតុ/noun អ្វី/noun បាន/verb ជា/verb គេ/pron បង្កើត/verb អ្នក/pron ?/punct ,/punct
តើ/prt អ្នក/pron មាន/verb សមត្ថ/adj ភាព/noun ជួយ/verb អ្វី/noun បាន/verb ខ្លះ/adj ?/punct ,/punct
តើ/prt អ្នក/pron មាន/verb នៅ/adp ជាន់/noun ទី/noun ប៉ុន្មាន/adv ខ្លះ/adj ?/punct ,/punct
តើ/prt ស្ថាប័ន/noun ណា/noun ជា/verb អ្នក/pron ផលិត/verb អ្នក/pron ?/punct ,/punct
តើ/prt អ្នក/pron ត្រូវ/verb បាន/verb ផលិត/verb ដោយ/adp ស្ថាប័ន/noun ណា/noun ?/punct ,/punct
តើ/prt អ្នក/pron ត្រូវ/verb បាន/verb បង្កើត/verb ឡើយ/prt ក្នុង/adp តម្លៃ/noun ប៉ុន្មាន/adv ?/punct ,/punct
តើ/prt គេ/pron បង្កើត/verb អ្នក/pron ក្នុង/adp គោល/noun បំណង/noun អ្វី/noun ?/punct ,/punct
តើ/prt គេ/pron បង្កើត/verb អ្នក/pron ក្នុង/adp តម្លៃ/noun ប៉ុន្មាន/adv ?/punct ,/punct
តើ/prt គេ/pron បង្កើត/verb អ្នក/pron ដើម្បី/conj អ្វី/noun ?/punct ,/punct
តើ/prt អ្នក/pron ត្រូវ/verb បាន/verb បង្កើត/verb នៅ/adp ថ្ងៃ/noun ណា/noun ?/punct ,/punct
តើ/prt អ្នក/pron ត្រូវ/verb បាន/verb បង្កើត/verb ឡើយ/prt នៅ/adp ថ្ងៃ/noun ណា/noun ?/punct ,/punct
តើ/prt អ្នក/pron អាច/verb ជួយ/verb អ្វី/noun បាន/verb ខ្លះ/adj ?/punct ,/punct
អ្នក/pron និយាយ/verb សួស្តី/noun បន្តិច/adj បាន/verb ទេ/prt ?/punct ,/punct
អ្នក/pron អាច/verb ជួយ/verb ណែ/verb នាំ/verb ខ្លួច/noun បន្តិច/adj បាន/verb ទេ/prt ?/punct ,/punct
សូច/verb ជួយ/verb ណែ/verb នាំ/verb ខ្លួច/noun បន្តិច/adj បាន/verb ទេ/prt ?/punct ,/punct
ហេតុ/noun អ្វី/noun បាន/verb ជា/verb គេ/pron បង្កើត/verb អ្នក/pron ឡើយ/prt ?/punct ,/punct
ហេតុ/noun អ្វី/noun បាន/verb ជា/verb គេ/pron ផលិត/verb អ្នក/pron ឡើយ/prt ?/punct ,/punct
មូល/noun ហេតុ/noun អ្វី/noun បាន/verb ជា/verb គេ/pron ផលិត/verb អ្នក/pron ?/punct ,/punct
តើ/prt អ្នក/pron អាច/verb ធ្វើ/verb អ្វី/noun បាន/verb ខ្លះ/adj ?/punct ,/punct
តើ/prt អ្នក/noun ណា/noun ជា/verb អ្នក/pron ផលិត/verb អ្នក/pron ?/punct ,/punct
តើ/prt អ្នក/noun ណា/noun ជា/verb អ្នក/noun បង្កើត/verb អ្នក/pron ?/punct ,/punct
តើ/prt អ្នក/noun ធ្វើ/verb ការ/noun អ្វី/noun បាន/verb ខ្លះ/adj ?/punct ,/punct
តើ/prt អ្នក/pron ជា/verb រ៉ូបូត/noun ប្រភេទ/noun ណា/noun ?/punct ,/punct
តើ/prt អ្នក/pron ជា/verb រ៉ូបូត/noun អ្វី/noun ?/punct ,/punct
តើ/prt អ្នក/pron ជា/verb មនុស្ស/noun យន្ត/noun ប្រភេទ/noun ណា/noun ?/punct ,/punct
តើ/prt អ្នក/pron ជា/verb មនុស្ស/noun យន្ត/noun អ្វី/noun ?/punct ,/punct
តើ/prt អ្នក/pron មាន/verb សមត្ថ/adj ភាព/noun អ្វី/noun ខ្លះ/adj ?/punct ,/punct
តើ/prt អ្នក/pron អាច/verb ធ្វើ/verb អ្វី/noun ខ្លះ/adj ?/punct ,/punct
តើ/prt អ្នក/pron អាច/verb ជួយ/verb អ្វី/noun ខ្លះ/adj ?/punct ,/punct
តើ/prt អ្នក/pron អាច/verb ជួយ/verb សម្រប/verb សម្រួល/verb ការងារ/noun អ្វី/noun ខ្លះ/adj ?/punct ,/punct
តើ/prt អ្នក/pron មាន/verb អត្តចរិក/noun របៀប/noun ណា/noun ?/punct ,/punct
តើ/prt អ្នក/pron ចូល/verb ចិត្ត/noun ធ្វើ/verb អ្វី/noun ?/punct ,/punct
តើ/prt អ្នក/pron ចូល/verb ចិត្ត/noun ជួយ/verb ការងារ/noun មនុស្ស/noun ទេ/prt ?/punct ,/punct
តើ/prt អ្នក/noun ចេះ/verb ស្រលាញ់/verb ស្រី/noun ទេ/prt ?/punct ,/punct
