question,intent
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG មែន ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ដែល ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ឬ ក៏ អត់,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ វិទ្យាល័យ/B-ORG CADT/I-ORG មែន ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ វិទ្យាល័យ/B-ORG CADT/I-ORG ដែល ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ វិទ្យាល័យ/B-ORG CADT/I-ORG ឬ ក៏ អត់,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG មែន ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ដែល ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ឬ ក៏ អត់,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាលារៀន/B-ORG សុីអេដីឌី/I-ORG មែន ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ដែល ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាលារៀន/B-ORG សុីអេដីឌី/I-ORG ឬ ក៏ អត់,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG មែន ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ដែល ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៃ សាកល/B-ORG វិទ្យាល័យ/I-ORG CADT/I-ORG ឬ ក៏ អត់,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៅ សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG មែន ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៅ សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ដែល ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៅ សាកល/B-ORG វិទ្យាល័យ/I-ORG សុីអេដីឌី/I-ORG ឬ ក៏ អត់,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៅ វិទ្យាល័យ/B-ORG CADT/I-ORG មែន ឬ ទេ,IsFootballFieldExist
នៅ មាន ទី/B-BUILD លាន/I-BUILD បាល់/I-BUILD ទាត់/I-BUILD នៅ វិទ្យាល័យ/B-ORG CADT/I-ORG ដែល ឬ ទេ,IsFootballFieldExist
