question,intent
ស្មាណា គេ ចាប់ បើក ទទួល ពាក្យ ចុះ ឈ្មោះ នៅ សាលា/B-ORG CADT/I-ORG នឹង ?,AskAboutRegisterDate
ស្មាណា គេ ចាប់ បើក ទទួល ពាក្យ ចុះ ឈ្មោះ នៅ សាលា នេះ ?,AskAboutRegisterDate
ស្មាណា គេ ចាប់ បើក ទទួល ពាក្យ ចុះ ឈ្មោះ នៅ សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ?,AskAboutRegisterDate
ស្មាណា គេ ដាក់ ពាក្យ ចូល រៀន នៅ សាលា/B-ORG CADT/I-ORG នឹង ?,AskAboutRegisterDate
ស្មាណា គេ ដាក់ ពាក្យ ចូល រៀន នៅ សាលា នេះ ?,AskAboutRegisterDate
ស្មាណា គេ ដាក់ ពាក្យ ចូល រៀន នៅ សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ?,AskAboutRegisterDate
ស្មាណា គេ ទិញ ពាក្យ ចូល រៀន នៅ សាលា/B-ORG CADT/I-ORG នឹង ?,AskAboutRegisterDate
ស្មាណា គេ ទិញ ពាក្យ ចូល រៀន នៅ សាលា នេះ ?,AskAboutRegisterDate
ស្មាណា គេ ទិញ ពាក្យ ចូល រៀន នៅ សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ?,AskAboutRegisterDate
ស្មាណា គេ ចុះ ឈ្មោះ ចូល រៀន នៅ សាលា/B-ORG CADT/I-ORG នឹង ?,AskAboutRegisterDate
ស្មាណា គេ ចុះ ឈ្មោះ ចូល រៀន នៅ សាលា នេះ ?,AskAboutRegisterDate
ស្មាណា គេ ចុះ ឈ្មោះ ចូល រៀន នៅ សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ?,AskAboutRegisterDate
ស្មាណា គេ ដាក់ ដឺម៉ង់ នៅ សាលា/B-ORG CADT/I-ORG នឹង ?,AskAboutRegisterDate
ស្មាណា គេ ដាក់ ដឺម៉ង់ នៅ សាលា នេះ ?,AskAboutRegisterDate
ស្មាណា គេ ដាក់ ដឺម៉ង់ នៅ សាលាស៊ីអេឌីធី ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ចាប់ បើក ទទួល ពាក្យ ចុះ ឈ្មោះ នៅ សាលា/B-ORG CADT/I-ORG នឹង ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ចាប់ បើក ទទួល ពាក្យ ចុះ ឈ្មោះ នៅ សាលា នេះ ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ចាប់ បើក ទទួល ពាក្យ ចុះ ឈ្មោះ នៅ សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ដាក់ ពាក្យ ចូល រៀន នៅ សាលា/B-ORG CADT/I-ORG នឹង ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ដាក់ ពាក្យ ចូល រៀន នៅ សាលា នេះ ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ដាក់ ពាក្យ ចូល រៀន នៅ សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ទិញ ពាក្យ ចូល រៀន នៅ សាលា/B-ORG CADT/I-ORG នឹង ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ទិញ ពាក្យ ចូល រៀន នៅ សាលា នេះ ?,AskAboutRegisterDate
នៅ ពេល ណា គេ ទិញ ពាក្យ ចូល រៀន នៅ សាលា/B-ORG ស៊ីអេឌីធី/I-ORG ?,AskAboutRegisterDate
