question,intent
តើ/prt ពិត/adj ជា/verb មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun ដែល/noun ឫ/conj ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មែនឫ/adv ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun ឫ/conj ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun ដែល/noun ឫ/conj ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មែនឫ/adv ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun ឫ/conj ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt នៅ/adp ទី/noun នេះ/det មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun ដែល/noun ឫ/conj ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt នៅ/adp ទី/noun នេះ/det មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun មែនឫ/adv ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt នៅ/adp ទី/noun នេះ/det មាន/verb វិទ្យា/noun ស្ថាន/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun ឫ/conj ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
តើ/prt ពិត/adj ជា/verb មាន/verb បណ្ឌិត្យ/noun សភា/noun បច្ចេកវិទ្យា/noun ឌីជីថល/noun កម្ពុជា/noun ដែល/noun ឫ/conj ទេ/prt ?/punct ,/punct Is/noun Institution/noun Exist/noun
