question,intent
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
អ្នក/pron អាច/verb រៀបរាប់/verb អំពី/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp បទ/noun បញ្ចារ/verb ផ្ទៃ/noun ក្នុង/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb ផ្នែក/noun មួយ/adj នៃ/adp ច្បាប់/noun ដែល/noun មាន/verb របស់/adp សាកល/adj វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb អំពី/adp របស់/adp សាកល/adj វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb អំពី/adp របស់/adp វិទ្យាល័យ/noun CADT/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb អំពី/adp របស់/adp វិទ្យាល័យ/noun សុីអេដីឌី/noun,ListInstitutionRule
ខ្ញុំ/pron ពិត/adj ជា/verb ចង់/verb ដឹង/verb អំពី/adp របស់/adp សាលារៀន/noun សុីអេដីឌី/noun,ListInstitutionRule
