question,intent
តើ បន្ទប់ របស់ លោក/B-PER សុភី/I-PER នៅ ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER សុភី/I-PER នៅ ឯ ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER សុភី/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER សុភី/I-PER នៅ ទី ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER អាឡិច/I-PER នៅ ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER អាឡិច/I-PER នៅ ឯ ណា?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER អាឡិច/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER អាឡិច/I-PER នៅ ទី ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER Alexander/I-PER នៅ ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER Alexander/I-PER នៅ ឯ ណា?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER Alexander/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER Alexander/I-PER នៅ ទី ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ឯ ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ទី ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ឯ ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ អ្នក/B-PER គ្រូ/I-PER ច/I-PER រិយា/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
តើ បន្ទប់ របស់ អ្នក/B-PER គ្រូ/I-PER ច/I-PER រិយា/I-PER នៅ ទី ណា ?,FindEmployeeRoom
បន្ទប់ សិក្សា លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ណា ?,FindEmployeeRoom
បន្ទប់ សិក្សា លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ឯ ណា ?,FindEmployeeRoom
បន្ទប់ សិក្សា លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
បន្ទប់ សិក្សា លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ទី ណា ?,FindEmployeeRoom
បន្ទប់ សិក្សា អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ណា ?,FindEmployeeRoom
បន្ទប់ សិក្សា អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ឯ ណា ?,FindEmployeeRoom
បន្ទប់ សិក្សា អ្នក/B-PER គ្រូ/I-PER ច/I-PER រិយា/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
បន្ទប់ សិក្សា អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ទី ណា ?,FindEmployeeRoom
បន្ទប់ រៀន លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ណា ?,FindEmployeeRoom
បន្ទប់ រៀន លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ឯ ណា ?,FindEmployeeRoom
បន្ទប់ រៀន លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
បន្ទប់ រៀន លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER នៅ ទី ណា ?,FindEmployeeRoom
បន្ទប់ រៀន អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ណា ?,FindEmployeeRoom
បន្ទប់ រៀន អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ឯ ណា ?,FindEmployeeRoom
បន្ទប់ រៀន អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ កន្លែង ណា ?,FindEmployeeRoom
បន្ទប់ រៀន អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER នៅ ទី ណា ?,FindEmployeeRoom
ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER សុភី/I-PER បន្ទិច មក,FindEmployeeRoom
ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER អាឡិច/I-PER បន្ទិច ម ក,FindEmployeeRoom
ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER Alexander/I-PER បន្ទិចម ក,FindEmployeeRoom
ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER បន្ទិច មក,FindEmployeeRoom
ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER បន្ទិច ម ក,FindEmployeeRoom
ជួយ ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER សុភី/I-PER បន្ទិច មក,FindEmployeeRoom
ជួយ ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER អាឡិច/I-PER បន្ទិច ម ក,FindEmployeeRoom
ជួយ ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER Alexander/I-PER បន្ទិចម ក,FindEmployeeRoom
ជួយ ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER គ្រូ/I-PER បញ្ញា/I-PER បន្ទិច មក,FindEmployeeRoom
ជួយ ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ អ្នក/B-PER គ្រូ/I-PER ចរិយា/I-PER បន្ទិចម ក,FindEmployeeRoom
សូម ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER សុភី/I-PER បន្ទិច មក,FindEmployeeRoom
សូម ប្រាប់ ខ្ញុំ ទី តាំង បន្ទប់ របស់ លោក/B-PER អាឡិច/I-PER បន្ទិច ម ក,FindEmployeeRoom
