question,intent
នៅ/adp ណាហូវ/noun កន្លែង/noun ដាក់/verb ដឺម៉ង់/noun នៅ/adp សាលា/noun សុីអេឌីធី/noun ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ដាក់/verb ដឺម៉ង់/noun នៅ/verb សាលា/noun នេះ/det ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ដាក់/verb ដឺម៉ង់/noun នៅ/adp សាលា/noun CADT/noun ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun សុីអេឌីធី/noun ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun នេះ/det ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun CADT/noun ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun សុីអេឌីធី/noun ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun នេះ/det ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun CADT/noun ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ចុះ/verb ឈ្មោះ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun សុីអេឌីធី/noun ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ចុះ/verb ឈ្មោះ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun នេះ/det ?/punct,FindEnrollmentLocation
នៅ/adp ណាហូវ/noun កន្លែង/noun ចុះ/verb ឈ្មោះ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun CADT/noun ?/punct,FindEnrollmentLocation
ឯណាទៅ/adj កន្លែង/noun ដាក់/verb ដឺម៉ង់/noun នៅ/adp សាលា/noun សុីអេឌីធី/noun ?/punct,FindEnrollmentLocation
ឯណាទៅ/adj កន្លែង/noun ដាក់/verb ដឺម៉ង់/noun នៅ/verb សាលា/noun នេះ/det ?/punct,FindEnrollmentLocation
ឯណាទៅ/adj កន្លែង/noun ដាក់/verb ដឺម៉ង់/noun នៅ/adp សាលា/noun CADT/noun ?/punct,FindEnrollmentLocation
ឯណាទៅ/adj កន្លែង/noun ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun សុីអេឌីធី/noun ?/punct,FindEnrollmentLocation
ឯណាទៅ/adj កន្លែង/noun ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun នេះ/det ?/punct,FindEnrollmentLocation
ឯណាទៅ/adj កន្លែង/noun ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun CADT/noun ?/punct,FindEnrollmentLocation
ឯណា/adj ទៅ/adp កន្លែង/noun ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun សុីអេឌីធី/noun ?/punct,FindEnrollmentLocation
ឯណា/adj ទៅ/adp កន្លែង/noun ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun នេះ/det ?/punct,FindEnrollmentLocation
ឯណា/adj ទៅ/adp កន្លែង/noun ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun CADT/noun ?/punct,FindEnrollmentLocation
ឯណាទៅ/adj កន្លែង/noun ចុះ/verb ឈ្មោះ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun សុីអេឌីធី/noun ?/punct,FindEnrollmentLocation
