question,intent
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun អាទិត្យ/noun ក្រុម/noun ការងារ/noun ក្នុង/adp សាលា/noun នឹង/verb ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun អាទិត្យ/noun បុគ្កលិក/noun នៅ/verb នឹង/verb ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun អាទិត្យ/noun គេ/pron ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun នឹង/adp ក្រុម/noun ការងារ/noun ក្នុង/adp សាលា/noun នឹង/verb ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun នឹង/adp បុគ្កលិក/noun នៅ/verb នឹង/verb ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun នឹង/adp គេ/pron ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun នេះ/det ក្រុម/noun ការងារ/noun ក្នុង/adp សាលា/noun នឹង/verb ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun នេះ/det បុគ្កលិក/noun នៅ/adp នឹង/verb ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun នេះ/det គេ/pron ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
តើ/prt មាន/verb ព័ត៌មាន/noun អត់/prt ថា/conj ថ្ងៃ/noun ស្អែក/adv ក្រុម/noun ការងារ/noun ក្នុង/adp សាលា/noun នឹង/verb ធ្វើ/verb ការ/noun អត់/prt ?/punct,AskWhetherPoepleWorkonExactDate
