question,intent
ស្មាណា/noun គេ/pron ចាប់/verb បើក/verb ទទួល/verb ពាក្យ/noun ចុះ/verb ឈ្មោះ/noun នៅ/adp សាលា/noun CADT/noun នឹង/verb ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ចាប់/verb បើក/verb ទទួល/verb ពាក្យ/noun ចុះ/verb ឈ្មោះ/noun នៅ/adp សាលា/noun នេះ/det ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ចាប់/verb បើក/verb ទទួល/verb ពាក្យ/noun ចុះ/verb ឈ្មោះ/noun នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun CADT/noun នឹង/verb ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun នេះ/det ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ដាក់/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun CADT/noun នឹង/verb ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun នេះ/det ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ទិញ/verb ពាក្យ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun ស៊ីអេឌីធី/noun ?/punct,AskAboutRegisterDate
ស្មាណា/noun គេ/pron ចុះ/verb ឈ្មោះ/noun ចូល/verb រៀន/verb នៅ/adp សាលា/noun CADT/noun នឹង/verb ?/punct,AskAboutRegisterDate
