question,intent
ខេត្ត/noun កំពត/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខេត្ត/noun តាកែវ/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខេត្ត/noun បាត់ដំបង/verb មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខេត្ត/noun កំពង់/noun ចាម/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខេត្ត/noun កំពង់/noun ឆ្នាំង/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខេត្ត/noun កំពង់/noun ស្ពឺ/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខេត្ត/noun កំពង់/noun ធំ/adj មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj ខេត្ត/noun កំពត/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj ខេត្ត/noun តាកែវ/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj ខេត្ត/noun បាត់ដំបង/verb មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj ខេត្ត/noun កំពង់/noun ចាម/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj ខេត្ត/noun កំពង់/noun ឆ្នាំង/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj ខេត្ត/noun កំពង់/noun ស្ពឺ/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
ខ្ញុំ/pron ចង់/verb ដឹង/verb ថា/conj ខេត្ត/noun កំពង់/noun ធំ/adj មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
អ្នក/pron អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ខេត្ត/noun កំពត/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
អ្នក/pron អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ខេត្ត/noun តាកែវ/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
អ្នក/pron អាច/verb ប្រាប់/verb បាន/verb ទេ/prt ថា/conj ខេត្ត/noun បន្ទាយ/noun មាន/verb ជ័យ/noun មាន/verb ផ្ទៃ/noun ដី/noun ទំហំ/noun ប៉ុនា្មន/noun សង់ទី/noun ម៉ែត្រ/noun ?/punct,AskAboutProvince
