question , intent
តើ ភ្នំ ពេញ មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ភ្នំ ពេញ មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ ភ្នំ ពេញ មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ភ្នំ ពេញ មាន ខណ្ឌ ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ភ្នំ ពេញ មាន ខណ្ឌម៉ាន ?,AskAboutDistrictInProvince
តើ ត្បូង ឃ្មុំ មាន ស្រុក ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ត្បូង ឃ្មុំ មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ត្បូង ឃ្មុំ មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ ត្បូង ឃ្មុំ មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ត្បូង ឃ្មុំ មាន ខណ្ឌ ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ត្បូង ឃ្មុំ មាន ខណ្ឌម៉ាន ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន មាន ស្រុក ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន មាន ខណ្ឌ ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ប៉ៃលិន មាន ខណ្ឌម៉ាន ?,AskAboutDistrictInProvince
តើ កែប មាន ស្រុក ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ កែប មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ កែប មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
តើ កែប មាន ខណ្ឌ ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ កែប មាន ខណ្ឌ ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ កែបមាន ខណ្ឌម៉ាន ?,AskAboutDistrictInProvince
តើ ឧត្តរ មាន ជ័យ មាន ស្រុក ប៉ុន្មាន ?,AskAboutDistrictInProvince
តើ ឧត្តរ មាន ជ័យ មាន ស្រុក ប៉ុន្មាន អ្វី ខ្លះ ?,AskAboutDistrictInProvince
តើ ឧត្តរ មាន ជ័យ មាន ស្រុក ម៉ាន ?,AskAboutDistrictInProvince
