Question,Intent
តើអ្នកអាចធ្វើការបានអ្វីខ្លះ?,AskRobotFunction
តើអ្នកអាចធ្វើអ្វីបានខ្លះ?,AskRobotFunction
តើអ្នកនិយាយបានប៉ុន្មានភាសា?,AskRobotFunction
តើអ្នកអាចដើរបានទេ?,AskRobotFunction
តើអ្នកអាចឆ្លើយបានគ្រប់សំនួរមែនទេ?,AskRobotFunction
ហេតុអ្វីបានជាអ្នកនិយាយបាន?,AskRobotFunction
តើអ្នកនិយាយបានដោយសារអ្វី?,AskRobotFunction
ម៉េចបានជាអ្នកនិយាយបាន?,AskRobotFunction
ហេតុអ្វីបានជាអ្នកស្តាប់បាន?,AskRobotFunction
តើអ្នកស្តាប់បានដោយសារអ្វី?,AskRobotFunction
ម៉េចបានជាអ្នកស្តាប់បាន?,AskRobotFunction
តើអ្នកមានអារម្មណ៍ទេ?,AskRobotFunction
តើអ្នកអាចជំនួសការងាររបស់មនុស្សបានដែលឬទេ?,AskRobotFunction
តើអ្នកពូកែជាងមនុស្សដែលឬទេ?,AskRobotFunction
តើអ្នកអាចនិយាយបានដែលឬទេ?,AskRobotFunction
តើអ្នកចេះកុហកឬទេ?,AskRobotFunction
តើអ្នកអាចនិយាយជាមួយខ្ញុំបានដែលឬទេ?,AskRobotFunction
តើអ្នកអាចធ្វើចលនាបានដែលឬទេ?,AskRobotFunction
តើអ្នកអាចនិយាយបានទេ?,AskRobotFunction
តើអ្នកអាចអស់ថ្មដែលទេ?,AskRobotFunction
តើអ្នកត្រូវការបញ្ចូលថ្មទេ?,AskRobotFunction
តើអ្នកត្រូវការសាកថ្មទេ?,AskRobotFunction
តើអ្នកអាចជួយអ្វីបានខ្លះ?,AskRobotFunction
តើអ្វីជាមុខងារចម្បងរបស់អ្នក?,AskRobotFunction
តើពាក្យបញ្ជារបស់អ្នកជាអ្វី?,AskRobotFunction
តើពាក្យបញ្ជារបស់អ្នកគឺជាអ្វី?,AskRobotFunction
តើអ្នកអាចធ្វើអ្វីបានដើម្បីជួយសង្គម?,AskRobotFunction
តើអ្នកអាចជំនួួសមនុស្សបានដែលឬទេ?,AskRobotFunction
តើអ្នកអាចខឹកទេ?,AskRobotFunction
តើអ្នកអាចសប្បាយចិត្តទេ?,AskRobotFunction
តើអ្នកអាចយំទេ?,AskRobotFunction
តើអ្នកអាចសើចទេ?,AskRobotFunction
តើអ្នកអាចញញឹមបានទេ?,AskRobotFunction
តើអ្នកអាចធ្វើការងាអ្វីបានខ្លះ?,AskRobotFunction
តើមានអ្វីដែលអាចធ្វើឱ្យអ្នកខកចិត្តទេ?,AskRobotFunction
តើមានអ្វីដែលអាចធ្វើអោយអ្នករំជួលចិត្ត?,AskRobotFunction
តើអ្នកអាចឆ្លាតជាងមនុស្សទេ?,AskRobotFunction
តើគោលដៅរបស់អ្នកគឺជាអ្វី?,AskRobotFunction
តើអ្នកមានគោលដៅអ្វី?,AskRobotFunction
តើអ្នកអាចយកទៅប្រើប្រាស់ក្នុងគោលដៅអ្វីខ្លះ?,AskRobotFunction
តើអ្នកអាចជួយសម្រួយការងារមនុស្សក្នុងគោលដៅអ្វីខ្លះ?,AskRobotFunction
តើអ្នកអាចជួយសម្រួយការងារមនុស្សក្នុងវិស័យអ្វីខ្លះ?,AskRobotFunction
ហេតុអ្វីបានជាអ្នកនិយាយខ្មែរ?,AskRobotFunction
ហេតុអ្វីបានជាអ្នកនិយាយភាសាខ្មែរ?,AskRobotFunction
តើអ្នកអាចនិយាយភាសាអង់គ្លេសបានទេ?,AskRobotFunction
តើអ្នកអាចនិយាយភាសាថៃបានទេ?,AskRobotFunction
តើអ្នកអាចនិយាយភាសាចិនបានទេ?,AskRobotFunction
តើអ្នកអាចនិយាយភាសាវៀតណាមបានទេ?,AskRobotFunction
ហេតុអ្វីបានជាអ្នកមិនអាចនិយាយភាសាអង់គ្លេសបាន?,AskRobotFunction
ហេតុអ្វីបានជាអ្នកមិនអាចនិយាយភាសាថៃបាន?,AskRobotFunction
ហេតុអ្វីបានជាអ្នកមិនអាចនិយាយភាសាចិនបាន?,AskRobotFunction
ហេតុអ្វីបានជាអ្នកមិនអាចនិយាយភាសាវៀតណាមបាន?,AskRobotFunction
តើអ្នកអាចជួយការងារអ្វីបានខ្លះ?,AskRobotFunction
